Age	fit	ci_lo	ci_hi	model
26	0.0019428511654687288	-0.002946779841843227	0.006832482172780685	exome_vafSum_posPath
27	0.002216599681293675	-0.0025218631890359194	0.006955062551623269	exome_vafSum_posPath
28	0.0024903481971186216	-0.0020983033678319647	0.007078999762069208	exome_vafSum_posPath
29	0.0027640967129435676	-0.0016762377137365184	0.007204431139623654	exome_vafSum_posPath
30	0.003037845228768514	-0.0012558210696532583	0.007331511527190287	exome_vafSum_posPath
31	0.00331159374459346	-8.372283254465527e-4	0.007460415814633473	exome_vafSum_posPath
32	0.0035853422604184065	-4.2065732529112266e-4	0.007591341846127936	exome_vafSum_posPath
33	0.003859090776243353	-6.332178332818083e-6	0.0077245137308195235	exome_vafSum_posPath
34	0.004132839292068299	4.054930001295611e-4	0.007860185584007038	exome_vafSum_posPath
35	0.004406587807893245	8.145299064250379e-4	0.007998645709361454	exome_vafSum_posPath
36	0.004680336323718191	0.0012204514441049204	0.008140221203331462	exome_vafSum_posPath
37	0.004954084839543138	0.001622886764066609	0.008285282915019667	exome_vafSum_posPath
38	0.005227833355368084	0.002021416089766778	0.008434250620969391	exome_vafSum_posPath
39	0.00550158187119303	0.0024155655767708157	0.008587598165615246	exome_vafSum_posPath
40	0.005775330387017977	0.0028048026085014544	0.0087458581655345	exome_vafSum_posPath
41	0.006049078902842923	0.0031885321331426198	0.008909625672543227	exome_vafSum_posPath
42	0.006322827418667869	0.0035660948988986765	0.009079559938437062	exome_vafSum_posPath
43	0.006596575934492815	0.003936768728195937	0.009256383140789692	exome_vafSum_posPath
44	0.006870324450317762	0.004299774238983575	0.009440874661651949	exome_vafSum_posPath
45	0.007144072966142708	0.004654286584037347	0.009633859348248069	exome_vafSum_posPath
46	0.007417821481967654	0.004999454699767319	0.009836188264167989	exome_vafSum_posPath
47	0.007691569997792601	0.005334429063697158	0.010048710931888045	exome_vafSum_posPath
48	0.007965318513617547	0.005658397904161662	0.010272239123073432	exome_vafSum_posPath
49	0.008239067029442493	0.005970630158228767	0.010507503900656218	exome_vafSum_posPath
50	0.008512815545267439	0.00627052145121172	0.010755109639323157	exome_vafSum_posPath
51	0.008786564061092385	0.006557637504429283	0.011015490617755487	exome_vafSum_posPath
52	0.009060312576917333	0.006831748417875788	0.011288876735958877	exome_vafSum_posPath
53	0.009334061092742279	0.007092847882863154	0.011575274302621404	exome_vafSum_posPath
54	0.009607809608567225	0.0073411537197048534	0.011874465497429595	exome_vafSum_posPath
55	0.00988155812439217	0.007577089636845015	0.012186026611939326	exome_vafSum_posPath
56	0.010155306640217117	0.007801251643644834	0.012509361636789399	exome_vafSum_posPath
57	0.010429055156042063	0.008014364975318744	0.012843745336765381	exome_vafSum_posPath
58	0.01070280367186701	0.008217238095165818	0.013188369248568203	exome_vafSum_posPath
59	0.010976552187691956	0.008410719451816939	0.013542384923566974	exome_vafSum_posPath
60	0.011250300703516902	0.00859566083225386	0.013904940574779945	exome_vafSum_posPath
61	0.011524049219341848	0.00877288912059865	0.014275209318085047	exome_vafSum_posPath
62	0.011797797735166794	0.008943186595810062	0.014652408874523527	exome_vafSum_posPath
63	0.01207154625099174	0.009107278811949164	0.015035813690034316	exome_vafSum_posPath
64	0.012345294766816686	0.009265828584407443	0.01542476094922593	exome_vafSum_posPath
65	0.012619043282641634	0.009419434507769006	0.01581865205751426	exome_vafSum_posPath
66	0.01289279179846658	0.009568632584306206	0.016216951012626952	exome_vafSum_posPath
67	0.013166540314291526	0.009713899806631	0.016619180821952052	exome_vafSum_posPath
68	0.013440288830116472	0.009855658822096816	0.01702491883813613	exome_vafSum_posPath
69	0.013714037345941418	0.009994283061199306	0.01743379163068353	exome_vafSum_posPath
70	0.013987785861766364	0.010130101918190216	0.017845469805342514	exome_vafSum_posPath
71	0.014261534377591312	0.010263405727410229	0.018259663027772394	exome_vafSum_posPath
72	0.014535282893416258	0.010394450389742873	0.018676115397089642	exome_vafSum_posPath
73	0.014809031409241204	0.010523461579129596	0.01909460123935281	exome_vafSum_posPath
74	0.01508277992506615	0.010650638508182736	0.019514921341949563	exome_vafSum_posPath
75	0.015356528440891096	0.010776157262160118	0.019936899619622073	exome_vafSum_posPath
76	0.01563027695671604	0.010900173727837083	0.020360380185595002	exome_vafSum_posPath
77	0.015904025472540988	0.011022826152501032	0.020785224792580943	exome_vafSum_posPath
78	0.016177773988365934	0.011144237371505822	0.021211310605226047	exome_vafSum_posPath
79	0.01645152250419088	0.011264516742695123	0.021638528265686637	exome_vafSum_posPath
